"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explo_coop_new"
"12/12/2018 19:24:56:860 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","seed-set","wall-perc","max-nuts","show-dist","repulsion-effect","perception","nb-robots","env-size","nb-buckets","nb-dechets","seed-wall","add-wall?","comportement","neighbors4?","[step]","mean [exploration-time] of robots"
"1","1","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","237"
"3","2","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","220"
"2","1","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","248"
"4","2","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","231"
"7","4","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","189"
"8","4","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","216"
"5","3","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","219"
"6","3","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","251"
"9","5","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","250"
"10","5","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","259"
"12","6","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","248"
"11","6","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","234"
"15","8","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","267"
"13","7","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","272"
"14","7","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","230"
"16","8","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","294"
"17","9","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","226"
"18","9","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","242"
"19","10","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","279"
"20","10","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","236"
"21","11","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","280"
"23","12","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","211"
"22","11","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","205"
"24","12","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","227"
"25","13","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","210"
"27","14","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","215"
"26","13","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","275"
"28","14","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","243"
"29","15","18","1","null","10","2","4","20","4","60","50","true","coop-av-coord","true","2000","202"
"30","15","18","1","null","10","2","4","20","4","60","50","true","coop-ss-coord","true","2000","202"
