"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explo_all"
"12/12/2018 12:18:27:411 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [exploration-time] of robots"
"3","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","340.25"
"2","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","365"
"1","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","374.5"
"4","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","365.5"
"5","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","360"
"7","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","362.75"
"6","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","360"
"8","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","382"
"11","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","116"
"12","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","98"
"13","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","90"
"14","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","107"
"15","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","115"
"16","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","107"
"17","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","117"
"10","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","376.25"
"9","1","1","true","1","null","egoiste","4","3","4","true","50","75","650","358"
"19","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","122"
"18","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","116"
"20","1","1","true","1","null","coop-av-coord","4","3","4","true","50","75","650","109"
"21","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","120"
"23","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","117"
"22","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","132"
"24","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","127"
"25","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","112"
"26","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","130"
"27","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","152"
"28","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","133"
"29","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","129"
"30","1","1","true","1","null","coop-ss-coord","4","3","4","true","50","75","650","165"
