"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explore_comportment_ac"
"12/11/2018 18:13:53:187 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","[step]","mean [exploration-time] of robots","min [exploration-time] of robots","max [exploration-time] of robots"
"3","1","30","true","1","null","coop-av-coord","4","2","4","true","700","129","129","129"
"2","1","30","true","1","null","coop-av-coord","4","2","4","true","700","163","163","163"
"1","1","30","true","1","null","coop-av-coord","4","2","4","true","700","146","146","146"
"4","1","30","true","1","null","coop-av-coord","4","2","4","true","700","128","128","128"
"6","2","30","true","1","null","coop-av-coord","4","2","4","true","700","147","147","147"
"5","1","30","true","1","null","coop-av-coord","4","2","4","true","700","169","169","169"
"8","2","30","true","1","null","coop-av-coord","4","2","4","true","700","134","134","134"
"7","2","30","true","1","null","coop-av-coord","4","2","4","true","700","161","161","161"
"10","2","30","true","1","null","coop-av-coord","4","2","4","true","700","170","170","170"
"11","3","30","true","1","null","coop-av-coord","4","2","4","true","700","174","174","174"
"9","2","30","true","1","null","coop-av-coord","4","2","4","true","700","131","131","131"
"12","3","30","true","1","null","coop-av-coord","4","2","4","true","700","119","119","119"
"15","3","30","true","1","null","coop-av-coord","4","2","4","true","700","139","139","139"
"13","3","30","true","1","null","coop-av-coord","4","2","4","true","700","180","180","180"
"14","3","30","true","1","null","coop-av-coord","4","2","4","true","700","145","145","145"
"16","4","30","true","1","null","coop-av-coord","4","2","4","true","700","154","154","154"
"17","4","30","true","1","null","coop-av-coord","4","2","4","true","700","170","170","170"
"19","4","30","true","1","null","coop-av-coord","4","2","4","true","700","139","139","139"
"20","4","30","true","1","null","coop-av-coord","4","2","4","true","700","141","141","141"
"18","4","30","true","1","null","coop-av-coord","4","2","4","true","700","120","120","120"
"21","5","30","true","1","null","coop-av-coord","4","2","4","true","700","165","165","165"
"23","5","30","true","1","null","coop-av-coord","4","2","4","true","700","143","143","143"
"22","5","30","true","1","null","coop-av-coord","4","2","4","true","700","124","124","124"
"24","5","30","true","1","null","coop-av-coord","4","2","4","true","700","147","147","147"
"25","5","30","true","1","null","coop-av-coord","4","2","4","true","700","149","149","149"
