"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explore_comportment"
"12/11/2018 17:49:05:465 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","[step]","mean [exploration-time] of robots","min [exploration-time] of robots","max [exploration-time] of robots"
"2","1","30","true","1","null","egoiste","0","2","4","true","700","468","456","483"
"6","2","30","true","1","null","egoiste","0","2","4","true","700","479.5","461","504"
"4","1","30","true","1","null","egoiste","0","2","4","true","700","480.25","458","510"
"1","1","30","true","1","null","egoiste","0","2","4","true","700","492.5","466","535"
"3","1","30","true","1","null","egoiste","0","2","4","true","700","484.5","455","503"
"5","1","30","true","1","null","egoiste","0","2","4","true","700","489","473","514"
"8","2","30","true","1","null","egoiste","0","2","4","true","700","494.75","483","517"
"7","2","30","true","1","null","egoiste","0","2","4","true","700","504.75","480","523"
"10","2","30","true","1","null","egoiste","0","2","4","true","700","473.5","457","486"
"13","3","30","true","1","null","egoiste","0","2","4","true","700","503.5","492","515"
"11","3","30","true","1","null","egoiste","0","2","4","true","700","477","458","503"
"9","2","30","true","1","null","egoiste","0","2","4","true","700","477","472","483"
"14","3","30","true","1","null","egoiste","0","2","4","true","700","460.25","436","480"
"12","3","30","true","1","null","egoiste","0","2","4","true","700","493.5","465","513"
"15","3","30","true","1","null","egoiste","0","2","4","true","700","481","453","510"
"16","4","30","true","1","null","egoiste","0","2","4","true","700","494","475","530"
"17","4","30","true","1","null","egoiste","0","2","4","true","700","479.25","457","502"
"18","4","30","true","1","null","egoiste","0","2","4","true","700","478","455","486"
"20","4","30","true","1","null","egoiste","0","2","4","true","700","492.25","480","506"
"21","5","30","true","1","null","egoiste","0","2","4","true","700","475","466","481"
"19","4","30","true","1","null","egoiste","0","2","4","true","700","474.75","456","482"
"22","5","30","true","1","null","egoiste","0","2","4","true","700","491","468","509"
"23","5","30","true","1","null","egoiste","0","2","4","true","700","494.75","488","508"
"24","5","30","true","1","null","egoiste","0","2","4","true","700","495.25","477","515"
"25","5","30","true","1","null","egoiste","0","2","4","true","700","492.75","470","513"
