"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explore_comportment_repulse_ss"
"12/11/2018 17:53:17:775 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","[step]","mean [exploration-time] of robots","min [exploration-time] of robots","max [exploration-time] of robots"
"4","1","30","true","1","null","coop-ss-coord","0","2","4","true","700","165","165","165"
"2","1","30","true","1","null","coop-ss-coord","0","2","4","true","700","156","156","156"
"3","1","30","true","1","null","coop-ss-coord","0","2","4","true","700","210","210","210"
"1","1","30","true","1","null","coop-ss-coord","0","2","4","true","700","151","151","151"
"6","2","30","true","1","null","coop-ss-coord","0","2","4","true","700","126","126","126"
"7","2","30","true","1","null","coop-ss-coord","0","2","4","true","700","145","145","145"
"5","1","30","true","1","null","coop-ss-coord","0","2","4","true","700","176","176","176"
"8","2","30","true","1","null","coop-ss-coord","0","2","4","true","700","187","187","187"
"9","2","30","true","1","null","coop-ss-coord","0","2","4","true","700","188","188","188"
"10","2","30","true","1","null","coop-ss-coord","0","2","4","true","700","172","172","172"
"11","3","30","true","1","null","coop-ss-coord","0","2","4","true","700","148","148","148"
"12","3","30","true","1","null","coop-ss-coord","0","2","4","true","700","138","138","138"
"13","3","30","true","1","null","coop-ss-coord","0","2","4","true","700","130","130","130"
"16","4","30","true","1","null","coop-ss-coord","0","2","4","true","700","168","168","168"
"14","3","30","true","1","null","coop-ss-coord","0","2","4","true","700","170","170","170"
"15","3","30","true","1","null","coop-ss-coord","0","2","4","true","700","187","187","187"
"17","4","30","true","1","null","coop-ss-coord","0","2","4","true","700","140","140","140"
"18","4","30","true","1","null","coop-ss-coord","0","2","4","true","700","140","140","140"
"19","4","30","true","1","null","coop-ss-coord","0","2","4","true","700","181","181","181"
"20","4","30","true","1","null","coop-ss-coord","0","2","4","true","700","169","169","169"
"21","5","30","true","1","null","coop-ss-coord","0","2","4","true","700","154","154","154"
"22","5","30","true","1","null","coop-ss-coord","0","2","4","true","700","149","149","149"
"23","5","30","true","1","null","coop-ss-coord","0","2","4","true","700","165","165","165"
"24","5","30","true","1","null","coop-ss-coord","0","2","4","true","700","198","198","198"
"25","5","30","true","1","null","coop-ss-coord","0","2","4","true","700","131","131","131"
