"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"explore_ss_new"
"12/13/2018 06:56:13:953 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","seed-set","wall-perc","max-nuts","show-dist","repulsion-effect","perception","nb-robots","env-size","nb-buckets","seed-wall","nb-dechets","add-wall?","comportement","neighbors4?","[step]","mean [exploration-time] of robots","min [exploration-time] of robots","max [exploration-time] of robots"
"4","1","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","131","131","131"
"3","1","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","141","141","141"
"1","1","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","171","171","171"
"2","1","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","178","178","178"
"5","1","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","119","119","119"
"6","1","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","108","108","108"
"7","1","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","128","128","128"
"8","1","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","129","129","129"
"9","2","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","116","116","116"
"10","2","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","138","138","138"
"11","2","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","120","120","120"
"12","2","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","127","127","127"
"14","2","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","106","106","106"
"13","2","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","133","133","133"
"16","2","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","136","136","136"
"15","2","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","184","184","184"
"18","3","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","121","121","121"
"17","3","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","149","149","149"
"19","3","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","112","112","112"
"22","3","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","153","153","153"
"20","3","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","148","148","148"
"21","3","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","159","159","159"
"23","3","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","128","128","128"
"24","3","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","148","148","148"
"26","4","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","133","133","133"
"25","4","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","149","149","149"
"28","4","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","116","116","116"
"27","4","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","160","160","160"
"29","4","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","164","164","164"
"30","4","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","177","177","177"
"32","4","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","174","174","174"
"31","4","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","187","187","187"
"33","5","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","155","155","155"
"34","5","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","172","172","172"
"36","5","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","119","119","119"
"35","5","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","133","133","133"
"37","5","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","112","112","112"
"38","5","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","128","128","128"
"39","5","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","126","126","126"
"40","5","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","130","130","130"
"41","6","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","151","151","151"
"42","6","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","148","148","148"
"44","6","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","146","146","146"
"45","6","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","127","127","127"
"43","6","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","183","183","183"
"46","6","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","153","153","153"
"48","6","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","138","138","138"
"47","6","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","134","134","134"
"49","7","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","138","138","138"
"50","7","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","167","167","167"
"51","7","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","128","128","128"
"52","7","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","125","125","125"
"53","7","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","181","181","181"
"54","7","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","123","123","123"
"56","7","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","118","118","118"
"55","7","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","125","125","125"
"57","8","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","140","140","140"
"58","8","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","127","127","127"
"60","8","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","121","121","121"
"59","8","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","156","156","156"
"61","8","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","118","118","118"
"64","8","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","106","106","106"
"62","8","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","118","118","118"
"63","8","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","114","114","114"
"66","9","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","120","120","120"
"67","9","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","137","137","137"
"65","9","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","153","153","153"
"68","9","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","141","141","141"
"69","9","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","124","124","124"
"70","9","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","136","136","136"
"72","9","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","156","156","156"
"71","9","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","149","149","149"
"73","10","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","124","124","124"
"74","10","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","198","198","198"
"76","10","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","114","114","114"
"75","10","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","137","137","137"
"77","10","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","138","138","138"
"79","10","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","143","143","143"
"78","10","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","151","151","151"
"80","10","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","148","148","148"
"82","11","10","1","null","10","2","8","20","2","10","1","true","coop-ss-coord","true","1000","139","139","139"
"81","11","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","166","166","166"
"83","11","10","1","null","10","2","8","20","3","10","1","true","coop-ss-coord","true","1000","134","134","134"
"84","11","10","1","null","10","2","8","20","4","10","1","true","coop-ss-coord","true","1000","163","163","163"
"85","11","10","1","null","10","2","8","20","5","10","1","true","coop-ss-coord","true","1000","123","123","123"
"86","11","10","1","null","10","2","8","20","6","10","1","true","coop-ss-coord","true","1000","170","170","170"
"87","11","10","1","null","10","2","8","20","7","10","1","true","coop-ss-coord","true","1000","197","197","197"
"88","11","10","1","null","10","2","8","20","8","10","1","true","coop-ss-coord","true","1000","159","159","159"
"89","12","10","1","null","10","2","8","20","1","10","1","true","coop-ss-coord","true","1000","138","138","138"
