"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_all"
"12/12/2018 18:58:32:613 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","min [pick-time] of robots","mean [pick-time] of robots","max [pick-time] of robots","min [participation] of robots","mean [participation] of robots","max [participation] of robots"
"4","2","60","true","1","null","egoiste","4","2","4","true","50","4","2000","554","580","628","11","15","17"
"1","2","60","true","1","null","egoiste","4","2","4","true","50","1","2000","646","663.5","688","14","15","17"
"3","2","60","true","1","null","egoiste","4","2","4","true","50","3","2000","688","701.75","709","12","15","17"
"2","2","60","true","1","null","egoiste","4","2","4","true","50","2","2000","689","704.75","722","13","14.75","16"
"5","2","60","true","1","null","egoiste","4","2","4","true","50","5","2000","597","623.75","651","12","15","17"
"6","2","60","true","1","null","egoiste","4","2","4","true","50","6","2000","648","666","691","14","15","17"
"7","2","60","true","1","null","egoiste","4","2","4","true","50","7","2000","647","660.5","676","12","15","18"
"8","2","60","true","1","null","egoiste","4","2","4","true","50","8","2000","773","795.5","813","14","14.75","16"
"11","2","60","true","1","null","coop-av-coord","4","2","4","true","50","1","2000","481","481","481","14","15","17"
"12","2","60","true","1","null","coop-av-coord","4","2","4","true","50","2","2000","675","675","675","12","15","17"
"13","2","60","true","1","null","coop-av-coord","4","2","4","true","50","3","2000","551","551","551","12","15","17"
"10","2","60","true","1","null","egoiste","4","2","4","true","50","10","2000","561","586.75","613","13","15","18"
"14","2","60","true","1","null","coop-av-coord","4","2","4","true","50","4","2000","429","429","429","13","15","18"
"9","2","60","true","1","null","egoiste","4","2","4","true","50","9","2000","827","852","867","14","14.75","17"
"15","2","60","true","1","null","coop-av-coord","4","2","4","true","50","5","2000","491","491","491","12","15","17"
"16","2","60","true","1","null","coop-av-coord","4","2","4","true","50","6","2000","511","511","511","13","15","16"
"17","2","60","true","1","null","coop-av-coord","4","2","4","true","50","7","2000","496","496","496","12","15","17"
"18","2","60","true","1","null","coop-av-coord","4","2","4","true","50","8","2000","655","655","655","14","15","16"
"20","2","60","true","1","null","coop-av-coord","4","2","4","true","50","10","2000","454","454","454","14","15","16"
"19","2","60","true","1","null","coop-av-coord","4","2","4","true","50","9","2000","748","748","748","14","15","16"
"21","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","487","487","487","13","14.5","16"
"23","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","561","561","561","13","14.25","16"
"22","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","611","611","611","13","14.5","17"
"24","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","433","433","433","12","14.5","17"
"25","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","488","488","488","13","14.5","17"
"26","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","497","497","497","12","14.5","20"
"27","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","493","493","493","13","14.5","19"
"28","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","667","667","667","14","14.5","15"
"30","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","465","465","465","13","14","17"
"29","2","60","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","699","699","699","13","14.25","15"
