"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_av"
"12/12/2018 13:42:52:084 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"1","4","20","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","115","115","115","5","4","6"
"4","4","20","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","134","134","134","5","4","6"
"3","4","20","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","129","129","129","5","4","6"
"2","4","20","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","156","156","156","5","4","7"
"7","4","20","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","129","129","129","5","4","6"
"5","4","20","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","211","211","211","5","4","6"
"8","4","20","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","150","150","150","5","4","7"
"6","4","20","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","191","191","191","5","4","6"
"10","4","20","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","141","141","141","5","4","6"
"9","4","20","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","207","207","207","5","4","6"
"12","4","24","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","157","157","157","6","4","8"
"11","4","24","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","176","176","176","6","4","7"
"13","4","24","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","177","177","177","5.5","4","7"
"14","4","24","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","169","169","169","6","5","7"
"15","4","24","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","156","156","156","5.75","5","7"
"16","4","24","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","248","248","248","6","5","8"
"17","4","24","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","198","198","198","6","5","7"
"18","4","24","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","162","162","162","5.5","4","7"
"19","4","24","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","182","182","182","5.75","4","7"
"20","4","24","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","185","185","185","6","5","7"
"21","4","28","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","209","209","209","7","5","9"
"22","4","28","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","227","227","227","7","5","8"
"23","4","28","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","235","235","235","7","7","7"
"24","4","28","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","220","220","220","7","4","9"
"25","4","28","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","194","194","194","6.5","5","7"
"26","4","28","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","208","208","208","6.75","5","9"
"27","4","28","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","193","193","193","7","6","8"
"29","4","28","true","1","null","coop-av-coord","4","3","4","true","50","9","2000","222","222","222","7","5","9"
"28","4","28","true","1","null","coop-av-coord","4","3","4","true","50","8","2000","252","252","252","6.5","5","7"
"30","4","28","true","1","null","coop-av-coord","4","3","4","true","50","10","2000","237","237","237","6.75","6","8"
"33","4","32","true","1","null","coop-av-coord","4","3","4","true","50","3","2000","224","224","224","7.75","7","10"
"32","4","32","true","1","null","coop-av-coord","4","3","4","true","50","2","2000","260","260","260","7.75","7","9"
"31","4","32","true","1","null","coop-av-coord","4","3","4","true","50","1","2000","350","350","350","8","6","10"
"34","4","32","true","1","null","coop-av-coord","4","3","4","true","50","4","2000","190","190","190","8","7","10"
"36","4","32","true","1","null","coop-av-coord","4","3","4","true","50","6","2000","206","206","206","7.75","7","10"
"35","4","32","true","1","null","coop-av-coord","4","3","4","true","50","5","2000","212","212","212","7.75","6","9"
"37","4","32","true","1","null","coop-av-coord","4","3","4","true","50","7","2000","249","249","249","7.75","7","9"
