"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_ego"
"12/12/2018 13:30:08:331 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"1","4","20","true","1","null","egoiste","4","3","4","true","50","1","1500","232.25","213","254","5","2","8"
"4","4","20","true","1","null","egoiste","4","3","4","true","50","4","1500","211.75","200","231","5","4","6"
"2","4","20","true","1","null","egoiste","4","3","4","true","50","2","1500","265.25","243","278","5","4","6"
"3","4","20","true","1","null","egoiste","4","3","4","true","50","3","1500","228.75","216","257","5","3","8"
"7","4","20","true","1","null","egoiste","4","3","4","true","50","7","1500","214","197","226","5","4","7"
"5","4","20","true","1","null","egoiste","4","3","4","true","50","5","1500","283.75","255","302","5","4","7"
"8","4","20","true","1","null","egoiste","4","3","4","true","50","8","1500","251.25","229","262","5","3","6"
"6","4","20","true","1","null","egoiste","4","3","4","true","50","6","1500","285","245","305","4.75","3","6"
"10","4","20","true","1","null","egoiste","4","3","4","true","50","10","1500","213.25","191","230","5","2","11"
"9","4","20","true","1","null","egoiste","4","3","4","true","50","9","1500","277","268","299","5","4","6"
"12","4","24","true","1","null","egoiste","4","3","4","true","50","2","1500","210.75","202","222","6","5","8"
"11","4","24","true","1","null","egoiste","4","3","4","true","50","1","1500","252.75","235","268","5.75","4","9"
"13","4","24","true","1","null","egoiste","4","3","4","true","50","3","1500","272.25","248","304","5.5","4","7"
"14","4","24","true","1","null","egoiste","4","3","4","true","50","4","1500","238.5","204","263","6","3","8"
"15","4","24","true","1","null","egoiste","4","3","4","true","50","5","1500","251.5","236","273","5.75","4","8"
"16","4","24","true","1","null","egoiste","4","3","4","true","50","6","1500","336.25","300","364","5.75","4","8"
"18","4","24","true","1","null","egoiste","4","3","4","true","50","8","1500","243.75","227","261","5.5","5","6"
"17","4","24","true","1","null","egoiste","4","3","4","true","50","7","1500","325","309","358","6","3","11"
"19","4","24","true","1","null","egoiste","4","3","4","true","50","9","1500","258.75","254","268","5.75","4","7"
"20","4","24","true","1","null","egoiste","4","3","4","true","50","10","1500","303.75","279","330","6","3","8"
"21","4","28","true","1","null","egoiste","4","3","4","true","50","1","1500","271.5","266","276","7","7","7"
"22","4","28","true","1","null","egoiste","4","3","4","true","50","2","1500","321.5","277","351","7","4","10"
"23","4","28","true","1","null","egoiste","4","3","4","true","50","3","1500","349.75","337","360","6.75","4","10"
"24","4","28","true","1","null","egoiste","4","3","4","true","50","4","1500","292","263","323","7","4","10"
"25","4","28","true","1","null","egoiste","4","3","4","true","50","5","1500","276","252","314","6.5","3","11"
"26","4","28","true","1","null","egoiste","4","3","4","true","50","6","1500","313","286","330","6.75","4","10"
