"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"pick_ss"
"12/12/2018 18:16:24:777 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","seed-wall","seed-set","[step]","mean [pick-time] of robots","min [pick-time] of robots","max [pick-time] of robots","mean [participation] of robots","min [participation] of robots","max [participation] of robots"
"3","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","195","195","195","4.5","3","6"
"1","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","240","240","240","4.5","4","6"
"2","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","248","248","248","4.5","3","7"
"4","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","237","237","237","4.25","3","6"
"5","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","192","192","192","4.5","4","6"
"6","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","6","2000","208","208","208","4.5","4","5"
"7","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","7","2000","198","198","198","4.25","4","5"
"8","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","8","2000","223","223","223","4.5","4","5"
"9","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","9","2000","169","169","169","4.5","3","6"
"10","2","20","true","1","null","coop-ss-coord","4","2","4","true","50","10","2000","166","166","166","4.25","3","6"
"11","2","24","true","1","null","coop-ss-coord","4","2","4","true","50","1","2000","178","178","178","5.5","3","7"
"12","2","24","true","1","null","coop-ss-coord","4","2","4","true","50","2","2000","269","269","269","5.25","4","7"
"15","2","24","true","1","null","coop-ss-coord","4","2","4","true","50","5","2000","165","165","165","5","4","6"
"13","2","24","true","1","null","coop-ss-coord","4","2","4","true","50","3","2000","247","247","247","5.25","5","6"
"14","2","24","true","1","null","coop-ss-coord","4","2","4","true","50","4","2000","299","299","299","5.5","4","8"
