"BehaviorSpace results (NetLogo 6.0.4)"
"project_robots.nlogo"
"repulsion_b"
"12/11/2018 18:08:17:270 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","nb-buckets","nb-dechets","add-wall?","max-nuts","show-dist","comportement","repulsion-effect","perception","nb-robots","neighbors4?","[step]","mean [exploration-time] of robots","min [exploration-time] of robots","max [exploration-time] of robots"
"1","3","30","true","1","null","coop-av-coord","2","2","4","true","700","133","133","133"
"3","3","30","true","1","null","coop-av-coord","2","2","4","true","700","177","177","177"
"4","3","30","true","1","null","coop-av-coord","2","2","4","true","700","175","175","175"
"2","3","30","true","1","null","coop-av-coord","2","2","4","true","700","130","130","130"
"5","3","30","true","1","null","coop-av-coord","2","2","4","true","700","150","150","150"
"7","3","30","true","1","null","coop-av-coord","4","2","4","true","700","115","115","115"
"8","3","30","true","1","null","coop-av-coord","4","2","4","true","700","117","117","117"
"6","3","30","true","1","null","coop-av-coord","4","2","4","true","700","113","113","113"
"11","3","30","true","1","null","coop-av-coord","6","2","4","true","700","157","157","157"
"10","3","30","true","1","null","coop-av-coord","4","2","4","true","700","151","151","151"
"12","3","30","true","1","null","coop-av-coord","6","2","4","true","700","162","162","162"
"9","3","30","true","1","null","coop-av-coord","4","2","4","true","700","141","141","141"
"13","3","30","true","1","null","coop-av-coord","6","2","4","true","700","137","137","137"
"15","3","30","true","1","null","coop-av-coord","6","2","4","true","700","151","151","151"
"14","3","30","true","1","null","coop-av-coord","6","2","4","true","700","142","142","142"
"16","3","30","true","1","null","coop-av-coord","8","2","4","true","700","150","150","150"
"17","3","30","true","1","null","coop-av-coord","8","2","4","true","700","148","148","148"
"19","3","30","true","1","null","coop-av-coord","8","2","4","true","700","140","140","140"
"20","3","30","true","1","null","coop-av-coord","8","2","4","true","700","138","138","138"
"18","3","30","true","1","null","coop-av-coord","8","2","4","true","700","128","128","128"
"21","3","30","true","1","null","coop-av-coord","10","2","4","true","700","158","158","158"
"22","3","30","true","1","null","coop-av-coord","10","2","4","true","700","150","150","150"
"23","3","30","true","1","null","coop-av-coord","10","2","4","true","700","175","175","175"
"24","3","30","true","1","null","coop-av-coord","10","2","4","true","700","155","155","155"
"25","3","30","true","1","null","coop-av-coord","10","2","4","true","700","138","138","138"
